,Dissections
Cluster59,"Human CbDN: 36.07%,  Human PnEN: 13.56%,  Human PnRF: 13.00%,  Human MoAN: 5.66%,  Human PN: 4.65%,  Human LG: 4.48%,  Human MoRF-MoEN: 4.16%,  Human SpC: 2.63%,  Human PnAN: 2.46%,  Human SN: 2.44%,  Human STH: 2.36%,  Human PAG: 1.50%,  Human DTg: 1.50%,  Human SN-RN: 1.11%,  Human PB: 0.98%,  Human IC: 0.89%,  Human IO: 0.81%,  Human MoSR: 0.30%,  Human VLN: 0.27%,  Human PAG-DR: 0.25%,  Human LP-VPL: 0.22%,  Human MN: 0.15%,  Human MG: 0.10%,  Human LP: 0.07%,  Human SEP: 0.07%,  Human GPi: 0.05%,  Human PTR: 0.05%,  Human GPe: 0.05%,  Human M1C: 0.05%,  Human CBV: 0.02%,  Human HTHtub: 0.02%,  Human CM-Pf: 0.02%,  Human VPL: 0.02%"
Cluster60,"Human SN-RN: 10.29%,  Human SN: 9.27%,  Human Pul: 8.42%,  Human LP: 6.82%,  Human PnRF: 5.82%,  Human PAG: 4.85%,  Human GPi: 4.13%,  Human CM-Pf: 3.89%,  Human DTg: 3.34%,  Human PB: 3.19%,  Human VLN: 3.15%,  Human LP-VPL: 2.55%,  Human STH: 2.14%,  Human PnEN: 2.03%,  Human MD-Re: 1.94%,  Human PAG-DR: 1.92%,  Human MD: 1.88%,  Human PnAN: 1.76%,  Human LG: 1.66%,  Human IC: 1.61%,  Human CM: 1.44%,  Human HTHpo-HTHso: 1.27%,  Human PTR: 1.22%,  Human SEP: 1.21%,  Human SC: 1.16%,  Human HTHso-HTHtub: 1.12%,  Human ANC: 1.09%,  Human MoRF-MoEN: 1.05%,  Human BNST: 0.94%,  Human RN: 0.93%,  Human MN: 0.84%,  Human MG: 0.79%,  Human PN: 0.68%,  Human HTHma-HTHtub: 0.62%,  Human HTHpo: 0.59%,  Human GPe: 0.55%,  Human ETH: 0.54%,  Human VPL: 0.53%,  Human HTHtub: 0.44%,  Human CbDN: 0.37%,  Human MoAN: 0.35%,  Human VA: 0.32%,  Human CEN: 0.27%,  Human SI: 0.24%,  Human IO: 0.20%,  Human HTHma: 0.19%,  Human SpC: 0.09%,  Human CMN: 0.09%,  Human Pir: 0.04%,  Human MoSR: 0.03%,  Human Sub: 0.03%,  Human Pu: 0.03%,  Human CA1U-CA2U-CA3U: 0.02%,  Human CA1: 0.02%,  Human CBL: 0.01%,  Human BM: 0.01%,  Human M1C: 0.01%,  Human CA1-2R: 0.00%,  Human CA4C-DGC: 0.00%,  Human CBV: 0.00%,  Human AON: 0.00%,  Human CoA: 0.00%,  Human A25: 0.00%,  Human A35r: 0.00%,  Human NAC: 0.00%"
Cluster61,"Human CA1: 14.29%,  Human Cla: 8.91%,  Human CA4C-DGC: 6.69%,  Human SEP: 6.09%,  Human DGU-CA4Upy: 5.76%,  Human Sub: 5.34%,  Human CA1U-CA2U-CA3U: 4.25%,  Human A35r: 3.28%,  Human MTG: 3.24%,  Human DGR-CA4Rpy: 3.00%,  Human CA1R-CA2R-CA3R: 2.61%,  Human CEN: 2.23%,  Human CA3R: 2.22%,  Human CA1C-CA3C: 2.21%,  Human STG: 2.00%,  Human MN: 1.76%,  Human GPe: 1.49%,  Human BL: 1.30%,  Human La: 1.13%,  Human M1C: 1.07%,  Human BM: 0.95%,  Human ACC: 0.93%,  Human CMN: 0.92%,  Human CaB: 0.84%,  Human S1C: 0.70%,  Human BNST: 0.69%,  Human Pro: 0.68%,  Human VA: 0.65%,  Human GPi: 0.64%,  Human A25: 0.62%,  Human A29-A30: 0.62%,  Human V1C: 0.62%,  Human TH-TL: 0.58%,  Human A1C: 0.57%,  Human NAC: 0.54%,  Human CA2U-CA3U: 0.50%,  Human ANC: 0.49%,  Human AON: 0.48%,  Human CA1-2R: 0.47%,  Human Pul: 0.47%,  Human TF: 0.44%,  Human Pu: 0.40%,  Human A19: 0.40%,  Human A13: 0.39%,  Human A44-A45: 0.39%,  Human A5-A7: 0.37%,  Human A46: 0.35%,  Human DGR-CA4: 0.35%,  Human V2: 0.33%,  Human A23: 0.33%,  Human MEC: 0.31%,  Human Idg: 0.31%,  Human A43: 0.30%,  Human Pir: 0.29%,  Human SI: 0.25%,  Human FI: 0.25%,  Human HTHpo-HTHso: 0.24%,  Human A38: 0.21%,  Human Ig: 0.21%,  Human A14: 0.20%,  Human A35-A36: 0.17%,  Human ITG: 0.17%,  Human CoA: 0.17%,  Human SN: 0.15%,  Human VLN: 0.15%,  Human HTHso: 0.13%,  Human LG: 0.12%,  Human A40: 0.12%,  Human LEC: 0.11%,  Human A32: 0.08%,  Human HTHtub: 0.07%,  Human HTHso-HTHtub: 0.06%,  Human HTHpo: 0.05%,  Human LP: 0.04%,  Human STH: 0.04%,  Human PN: 0.02%,  Human SC: 0.01%,  Human SN-RN: 0.01%,  Human ETH: 0.01%,  Human PB: 0.01%,  Human PnAN: 0.01%,  Human PnEN: 0.01%,  Human SpC: 0.01%,  Human MoAN: 0.01%,  Human MD-Re: 0.01%,  Human MD: 0.01%,  Human LP-VPL: 0.01%,  Human HTHma: 0.01%,  Human HTHma-HTHtub: 0.01%,  Human CM-Pf: 0.01%,  Human PnRF: 0.01%,  Human VPL: 0.01%"
Cluster62,"Human GPi: 30.08%,  Human CbDN: 18.12%,  Human SN: 10.08%,  Human GPe: 9.12%,  Human PnRF: 3.84%,  Human SN-RN: 3.74%,  Human STH: 2.66%,  Human PnEN: 2.49%,  Human PB: 2.05%,  Human PnAN: 1.95%,  Human VLN: 1.37%,  Human PAG: 1.08%,  Human PN: 0.97%,  Human CBV: 0.79%,  Human Pul: 0.78%,  Human LG: 0.75%,  Human CM-Pf: 0.68%,  Human DTg: 0.63%,  Human SI: 0.55%,  Human VA: 0.50%,  Human ANC: 0.43%,  Human CBL: 0.41%,  Human HTHpo-HTHso: 0.41%,  Human MN: 0.36%,  Human CA1: 0.35%,  Human LP: 0.35%,  Human SEP: 0.35%,  Human LP-VPL: 0.33%,  Human RN: 0.33%,  Human MoRF-MoEN: 0.32%,  Human MG: 0.31%,  Human IO: 0.30%,  Human PTR: 0.27%,  Human PAG-DR: 0.25%,  Human CM: 0.25%,  Human SC: 0.25%,  Human IC: 0.25%,  Human MoAN: 0.21%,  Human SpC: 0.17%,  Human BNST: 0.16%,  Human VPL: 0.15%,  Human CA1U-CA2U-CA3U: 0.12%,  Human HTHma-HTHtub: 0.12%,  Human HTHso-HTHtub: 0.12%,  Human MoSR: 0.12%,  Human MD: 0.10%,  Human HTHma: 0.09%,  Human MD-Re: 0.09%,  Human ETH: 0.09%,  Human CA4C-DGC: 0.09%,  Human HTHpo: 0.08%,  Human M1C: 0.07%,  Human Sub: 0.07%,  Human HTHtub: 0.06%,  Human Pu: 0.06%,  Human CMN: 0.06%,  Human CEN: 0.06%,  Human DGU-CA4Upy: 0.02%,  Human CA3R: 0.02%,  Human Pir: 0.01%,  Human A35r: 0.01%,  Human CA1R-CA2R-CA3R: 0.01%,  Human CA1C-CA3C: 0.01%,  Human BL: 0.01%,  Human DGR-CA4Rpy: 0.01%,  Human MTG: 0.01%,  Human A29-A30: 0.01%,  Human A35-A36: 0.00%,  Human BM: 0.00%,  Human V2: 0.00%,  Human LEC: 0.00%,  Human ACC: 0.00%,  Human A46: 0.00%,  Human La: 0.00%,  Human A23: 0.00%,  Human CaB: 0.00%"
Cluster63,"Human SpC: 19.96%,  Human MoAN: 19.71%,  Human IO: 9.55%,  Human MoRF-MoEN: 6.74%,  Human PnEN: 6.03%,  Human PnRF: 4.13%,  Human LG: 3.38%,  Human SEP: 3.08%,  Human MoSR: 2.60%,  Human SC: 2.49%,  Human SN: 2.30%,  Human MN: 2.21%,  Human PN: 2.08%,  Human CbDN: 1.85%,  Human PB: 1.17%,  Human DTg: 1.11%,  Human IC: 0.99%,  Human PnAN: 0.93%,  Human PAG-DR: 0.92%,  Human HTHtub: 0.79%,  Human PAG: 0.71%,  Human ETH: 0.64%,  Human Pul: 0.64%,  Human ANC: 0.64%,  Human HTHma: 0.59%,  Human GPi: 0.38%,  Human MD-Re: 0.33%,  Human HTHso-HTHtub: 0.33%,  Human CMN: 0.27%,  Human SN-RN: 0.27%,  Human BNST: 0.26%,  Human CM-Pf: 0.24%,  Human RN: 0.22%,  Human MD: 0.21%,  Human HTHma-HTHtub: 0.19%,  Human CEN: 0.18%,  Human HTHpo: 0.17%,  Human GPe: 0.15%,  Human PTR: 0.13%,  Human DGR-CA4Rpy: 0.13%,  Human Pir: 0.11%,  Human HTHpo-HTHso: 0.11%,  Human CA1U-CA2U-CA3U: 0.11%,  Human CA1: 0.11%,  Human CA4C-DGC: 0.10%,  Human VLN: 0.08%,  Human MG: 0.07%,  Human VA: 0.06%,  Human DGU-CA4Upy: 0.05%,  Human SI: 0.05%,  Human STH: 0.04%,  Human NAC: 0.04%,  Human CBV: 0.04%,  Human La: 0.04%,  Human VPL: 0.04%,  Human A29-A30: 0.03%,  Human CaB: 0.03%,  Human HTHso: 0.03%,  Human LP: 0.03%,  Human A35-A36: 0.02%,  Human CA3R: 0.02%,  Human A1C: 0.02%,  Human CBL: 0.02%,  Human CA1C-CA3C: 0.02%,  Human M1C: 0.02%,  Human CA2U-CA3U: 0.02%,  Human ACC: 0.01%,  Human LP-VPL: 0.01%,  Human DGR-CA4: 0.01%,  Human MEC: 0.01%"
Cluster64,"Human MN: 92.55%,  Human CEN: 1.19%,  Human CA3R: 0.59%,  Human CA1: 0.51%,  Human GPi: 0.51%,  Human LG: 0.42%,  Human SEP: 0.42%,  Human ANC: 0.42%,  Human PB: 0.34%,  Human SN: 0.34%,  Human Pul: 0.25%,  Human HTHpo: 0.25%,  Human PnEN: 0.17%,  Human BNST: 0.17%,  Human Sub: 0.17%,  Human GPe: 0.17%,  Human HTHtub: 0.17%,  Human PAG-DR: 0.17%,  Human CMN: 0.17%,  Human CM: 0.17%,  Human AON: 0.08%,  Human BL: 0.08%,  Human PnRF: 0.08%,  Human CA1U-CA2U-CA3U: 0.08%,  Human RN: 0.08%,  Human VLN: 0.08%,  Human MD-Re: 0.08%,  Human ETH: 0.08%,  Human VA: 0.08%,  Human NAC: 0.08%"
Cluster65,"Human PnEN: 10.23%,  Human PAG: 9.09%,  Human PAG-DR: 9.09%,  Human CA1: 7.95%,  Human MoRF-MoEN: 6.82%,  Human IC: 5.68%,  Human BNST: 4.55%,  Human MoAN: 3.41%,  Human SN-RN: 3.41%,  Human MN: 3.41%,  Human SEP: 3.41%,  Human VA: 2.27%,  Human SpC: 2.27%,  Human CM-Pf: 2.27%,  Human CEN: 2.27%,  Human HTHma: 2.27%,  Human CbDN: 2.27%,  Human MD-Re: 1.14%,  Human MoSR: 1.14%,  Human DTg: 1.14%,  Human CaB: 1.14%,  Human MD: 1.14%,  Human CA1R-CA2R-CA3R: 1.14%,  Human CA1U-CA2U-CA3U: 1.14%,  Human BL: 1.14%,  Human HTHtub: 1.14%,  Human HTHpo-HTHso: 1.14%,  Human HTHpo: 1.14%,  Human CMN: 1.14%,  Human CA3R: 1.14%,  Human DGU-CA4Upy: 1.14%,  Human SC: 1.14%,  Human Pul: 1.14%,  Human PnAN: 1.14%"
Cluster66,"Human MoAN: 42.70%,  Human MoSR: 22.25%,  Human MoRF-MoEN: 18.20%,  Human PnAN: 15.06%,  Human PnEN: 0.90%,  Human PAG-DR: 0.45%,  Human BNST: 0.22%,  Human SEP: 0.22%"
Cluster67,"Human SpC: 22.27%,  Human MoRF-MoEN: 21.51%,  Human MoAN: 18.74%,  Human MoSR: 12.44%,  Human PnAN: 12.44%,  Human PnEN: 3.23%,  Human IC: 2.61%,  Human DTg: 2.15%,  Human PAG-DR: 1.54%,  Human HTHma: 1.08%,  Human SN-RN: 0.77%,  Human PAG: 0.61%,  Human BL: 0.15%,  Human CM-Pf: 0.15%,  Human CA1: 0.15%,  Human CbDN: 0.15%"
Cluster68,"Human MoRF-MoEN: 17.86%,  Human PnEN: 12.20%,  Human SEP: 11.55%,  Human PnAN: 7.84%,  Human MoSR: 7.63%,  Human PAG-DR: 5.23%,  Human Pul: 5.23%,  Human MoAN: 4.36%,  Human ETH: 3.05%,  Human ANC: 2.83%,  Human SC: 2.40%,  Human CA3R: 2.40%,  Human CA1U-CA2U-CA3U: 2.40%,  Human DTg: 2.18%,  Human MD: 1.96%,  Human BNST: 1.96%,  Human PAG: 1.53%,  Human HTHma: 0.87%,  Human CbDN: 0.87%,  Human CA4C-DGC: 0.87%,  Human PB: 0.65%,  Human CA1C-CA3C: 0.65%,  Human VLN: 0.65%,  Human HTHpo-HTHso: 0.65%,  Human PTR: 0.44%,  Human HTHso-HTHtub: 0.44%,  Human SN-RN: 0.44%,  Human NAC: 0.22%,  Human CA1-2R: 0.22%,  Human PnRF: 0.22%,  Human IC: 0.22%"
Cluster69,"Human CA1: 17.40%,  Human CA1U-CA2U-CA3U: 16.71%,  Human CA4C-DGC: 11.05%,  Human CA1R-CA2R-CA3R: 8.70%,  Human DGU-CA4Upy: 8.15%,  Human SEP: 6.08%,  Human NAC: 4.28%,  Human CA1C-CA3C: 3.18%,  Human Pul: 3.04%,  Human BL: 2.62%,  Human CMN: 2.21%,  Human CA3R: 2.07%,  Human BNST: 1.93%,  Human ANC: 1.38%,  Human PAG-DR: 1.38%,  Human ETH: 1.10%,  Human HTHpo-HTHso: 0.97%,  Human CA2U-CA3U: 0.83%,  Human CaB: 0.83%,  Human DTg: 0.83%,  Human DGR-CA4Rpy: 0.69%,  Human PnAN: 0.69%,  Human La: 0.41%,  Human IC: 0.41%,  Human PAG: 0.41%,  Human MoSR: 0.41%,  Human SC: 0.28%,  Human MD-Re: 0.28%,  Human Sub: 0.28%,  Human CEN: 0.28%,  Human VA: 0.28%,  Human MoRF-MoEN: 0.14%,  Human BM: 0.14%,  Human CA1-2R: 0.14%,  Human HTHso-HTHtub: 0.14%,  Human VLN: 0.14%,  Human SN: 0.14%"
Cluster70,"Human MD: 22.26%,  Human BNST: 20.97%,  Human MD-Re: 7.10%,  Human PAG-DR: 6.77%,  Human HTHtub: 6.13%,  Human IC: 5.81%,  Human ANC: 4.84%,  Human PnAN: 4.52%,  Human PnEN: 4.52%,  Human ETH: 4.19%,  Human SC: 3.87%,  Human CM-Pf: 2.58%,  Human CbDN: 1.61%,  Human SEP: 1.29%,  Human HTHpo-HTHso: 0.65%,  Human PTR: 0.32%,  Human CBV: 0.32%,  Human CA1: 0.32%,  Human PAG: 0.32%,  Human HTHpo: 0.32%,  Human PB: 0.32%,  Human CA3R: 0.32%,  Human HTHso-HTHtub: 0.32%,  Human CEN: 0.32%"
Cluster71,"Human CaB: 20.38%,  Human SEP: 17.02%,  Human BNST: 12.18%,  Human HTHtub: 9.66%,  Human MN: 9.03%,  Human VA: 7.35%,  Human HTHpo: 4.20%,  Human ANC: 3.78%,  Human NAC: 3.57%,  Human HTHma: 2.94%,  Human CM-Pf: 2.94%,  Human IC: 1.47%,  Human DTg: 1.05%,  Human PAG-DR: 0.84%,  Human BL: 0.84%,  Human PAG: 0.42%,  Human Pul: 0.42%,  Human HTHpo-HTHso: 0.42%,  Human CA1: 0.21%,  Human SC: 0.21%,  Human MoAN: 0.21%,  Human CA1C-CA3C: 0.21%,  Human HTHso-HTHtub: 0.21%,  Human La: 0.21%,  Human HTHma-HTHtub: 0.21%"
Cluster72,"Human CA1: 38.46%,  Human Sub: 11.10%,  Human BNST: 7.21%,  Human BL: 6.33%,  Human DTg: 3.89%,  Human NAC: 3.70%,  Human SEP: 3.70%,  Human CMN: 3.02%,  Human CEN: 2.34%,  Human CA1U-CA2U-CA3U: 1.85%,  Human PAG: 1.75%,  Human ANC: 1.66%,  Human PnAN: 1.27%,  Human PnEN: 1.27%,  Human PAG-DR: 1.27%,  Human IC: 1.07%,  Human La: 0.97%,  Human SN-RN: 0.78%,  Human Pul: 0.68%,  Human HTHpo-HTHso: 0.68%,  Human HTHtub: 0.58%,  Human MN: 0.49%,  Human VA: 0.49%,  Human CaB: 0.49%,  Human ETH: 0.39%,  Human DGU-CA4Upy: 0.39%,  Human DGR-CA4Rpy: 0.39%,  Human MoAN: 0.39%,  Human SC: 0.39%,  Human HTHpo: 0.29%,  Human CbDN: 0.29%,  Human CA1R-CA2R-CA3R: 0.29%,  Human CA1C-CA3C: 0.29%,  Human BM: 0.29%,  Human MD: 0.19%,  Human CA4C-DGC: 0.19%,  Human SN: 0.19%,  Human CA3R: 0.19%,  Human CM-Pf: 0.19%,  Human MoRF-MoEN: 0.19%,  Human MD-Re: 0.10%,  Human PnRF: 0.10%,  Human IO: 0.10%,  Human HTHma-HTHtub: 0.10%"
Cluster73,"Human CA1: 69.35%,  Human BL: 5.40%,  Human DGU-CA4Upy: 2.98%,  Human Sub: 2.87%,  Human CA1U-CA2U-CA3U: 2.87%,  Human CA4C-DGC: 2.54%,  Human CA1C-CA3C: 2.21%,  Human CMN: 1.87%,  Human CA3R: 1.43%,  Human CA1R-CA2R-CA3R: 1.21%,  Human SEP: 0.99%,  Human HTHpo-HTHso: 0.88%,  Human MD: 0.55%,  Human PAG-DR: 0.44%,  Human NAC: 0.44%,  Human BNST: 0.44%,  Human La: 0.33%,  Human CaB: 0.33%,  Human Pul: 0.33%,  Human PnEN: 0.33%,  Human HTHtub: 0.33%,  Human CA2U-CA3U: 0.22%,  Human CbDN: 0.22%,  Human PnAN: 0.22%,  Human ANC: 0.22%,  Human DGR-CA4Rpy: 0.22%,  Human IC: 0.11%,  Human MoAN: 0.11%,  Human HTHso: 0.11%,  Human BM: 0.11%,  Human A43: 0.11%,  Human SI: 0.11%,  Human ETH: 0.11%"
Cluster74,"Human SEP: 67.80%,  Human DGR-CA4Rpy: 6.04%,  Human MD: 4.28%,  Human MoAN: 3.90%,  Human Pul: 3.40%,  Human MoSR: 3.02%,  Human ETH: 2.26%,  Human ANC: 1.89%,  Human PAG-DR: 1.38%,  Human BNST: 1.01%,  Human CA1R-CA2R-CA3R: 0.88%,  Human MD-Re: 0.75%,  Human VLN: 0.63%,  Human SC: 0.63%,  Human PnAN: 0.50%,  Human MoRF-MoEN: 0.38%,  Human NAC: 0.38%,  Human CA4C-DGC: 0.25%,  Human MG: 0.13%,  Human IC: 0.13%,  Human PTR: 0.13%,  Human CaB: 0.13%,  Human SN-RN: 0.13%"
Cluster75,"Human SEP: 32.86%,  Human MoSR: 21.43%,  Human MoAN: 12.86%,  Human Pul: 12.86%,  Human MoRF-MoEN: 4.29%,  Human DGR-CA4Rpy: 4.29%,  Human PnAN: 4.29%,  Human LG: 2.86%,  Human CA1R-CA2R-CA3R: 1.43%,  Human PB: 1.43%,  Human CA2U-CA3U: 1.43%"
Cluster76,"Human SEP: 55.45%,  Human MoSR: 23.76%,  Human Pul: 7.92%,  Human MoRF-MoEN: 3.96%,  Human MoAN: 3.96%,  Human ANC: 0.99%,  Human M1C: 0.99%,  Human A5-A7: 0.99%,  Human CA1R-CA2R-CA3R: 0.99%,  Human IC: 0.99%"
Cluster77,"Human SEP: 49.67%,  Human MoAN: 33.94%,  Human MoSR: 11.81%,  Human DGR-CA4Rpy: 3.01%,  Human MoRF-MoEN: 0.42%,  Human PnAN: 0.42%,  Human Pul: 0.30%,  Human ANC: 0.12%,  Human MD-Re: 0.12%,  Human SpC: 0.06%,  Human STG: 0.06%,  Human CbDN: 0.06%"
Cluster78,"Human SEP: 92.54%,  Human MoAN: 4.94%,  Human MoSR: 1.21%,  Human Pul: 0.41%,  Human DGR-CA4Rpy: 0.30%,  Human MoRF-MoEN: 0.15%,  Human ANC: 0.11%,  Human PnAN: 0.08%,  Human CA1R-CA2R-CA3R: 0.04%,  Human MN: 0.04%,  Human PnEN: 0.04%,  Human SC: 0.04%,  Human CM-Pf: 0.04%,  Human CbDN: 0.04%,  Human HTHma-HTHtub: 0.04%"
Cluster79,"Human SEP: 93.99%,  Human MoAN: 2.87%,  Human MoSR: 1.57%,  Human MoRF-MoEN: 0.52%,  Human DGR-CA4Rpy: 0.52%,  Human ANC: 0.26%,  Human Pul: 0.26%"
Cluster80,"Human SEP: 94.80%,  Human MoAN: 2.97%,  Human MoSR: 0.89%,  Human MoRF-MoEN: 0.67%,  Human DGR-CA4Rpy: 0.37%,  Human Pul: 0.15%,  Human LG: 0.07%,  Human CA1R-CA2R-CA3R: 0.07%"
Cluster81,"Human SEP: 73.67%,  Human MoAN: 20.95%,  Human MoSR: 3.85%,  Human MoRF-MoEN: 0.80%,  Human PnAN: 0.51%,  Human PnRF: 0.07%,  Human ANC: 0.07%,  Human SN-RN: 0.07%"
Cluster82,"Human SEP: 76.61%,  Human MoAN: 11.70%,  Human MoSR: 10.53%,  Human PnAN: 1.17%"
Cluster83,"Human M1C: 22.27%,  Human S1C: 5.25%,  Human MTG: 4.62%,  Human FI: 4.41%,  Human AON: 4.41%,  Human Idg: 3.57%,  Human V1C: 3.57%,  Human ACC: 2.94%,  Human A13: 2.94%,  Human A38: 2.73%,  Human A25: 2.73%,  Human A44-A45: 2.31%,  Human TF: 2.31%,  Human V2: 2.31%,  Human A29-A30: 2.10%,  Human SEP: 2.10%,  Human A23: 2.10%,  Human A1C: 2.10%,  Human Ig: 2.10%,  Human A43: 2.10%,  Human HTHso: 1.89%,  Human Pro: 1.89%,  Human ITG: 1.68%,  Human TH-TL: 1.68%,  Human A5-A7: 1.68%,  Human A46: 1.68%,  Human Pir: 1.05%,  Human LEC: 1.05%,  Human STG: 1.05%,  Human CoA: 0.84%,  Human A19: 0.84%,  Human A32: 0.84%,  Human A40: 0.84%,  Human Cla: 0.63%,  Human CA1R-CA2R-CA3R: 0.63%,  Human A14: 0.63%,  Human Sub: 0.42%,  Human SI: 0.42%,  Human BM: 0.42%,  Human A35-A36: 0.21%,  Human SC: 0.21%,  Human La: 0.21%,  Human CEN: 0.21%"
Cluster84,"Human CA1U-CA2U-CA3U: 20.09%,  Human CA2U-CA3U: 19.29%,  Human CA1-2R: 13.52%,  Human Sub: 12.41%,  Human CA1R-CA2R-CA3R: 12.05%,  Human CA1C-CA3C: 10.51%,  Human CA1: 10.28%,  Human M1C: 0.58%,  Human CMN: 0.40%,  Human BM: 0.27%,  Human DGR-CA4Rpy: 0.27%,  Human BL: 0.09%,  Human DGU-CA4Upy: 0.07%,  Human ACC: 0.07%,  Human CA4C-DGC: 0.04%,  Human SC: 0.02%,  Human A29-A30: 0.02%,  Human MEC: 0.02%"
Cluster85,"Human ACC: 32.30%,  Human SEP: 25.88%,  Human SI: 9.73%,  Human AON: 8.56%,  Human HTHso: 8.17%,  Human BNST: 4.28%,  Human M1C: 2.92%,  Human HTHpo: 2.72%,  Human A25: 2.14%,  Human NAC: 1.17%,  Human FI: 0.39%,  Human Ig: 0.19%,  Human CA1U-CA2U-CA3U: 0.19%,  Human CA1-2R: 0.19%,  Human LP: 0.19%,  Human Cla: 0.19%,  Human CoA: 0.19%,  Human ITG: 0.19%,  Human TH-TL: 0.19%,  Human A29-A30: 0.19%"
Cluster86,"Human M1C: 30.77%,  Human S1C: 8.62%,  Human Ig: 6.37%,  Human A43: 6.03%,  Human MTG: 4.18%,  Human A23: 3.85%,  Human A1C: 3.78%,  Human A44-A45: 3.71%,  Human A5-A7: 3.51%,  Human A40: 3.18%,  Human Idg: 2.98%,  Human A46: 2.59%,  Human V1C: 2.39%,  Human TH-TL: 2.19%,  Human STG: 2.12%,  Human TF: 2.12%,  Human Pro: 1.72%,  Human Cla: 1.72%,  Human V2: 1.39%,  Human A13: 1.13%,  Human A19: 1.13%,  Human A29-A30: 0.99%,  Human ITG: 0.93%,  Human Sub: 0.86%,  Human CA1R-CA2R-CA3R: 0.27%,  Human A32: 0.27%,  Human A38: 0.27%,  Human A35-A36: 0.20%,  Human A25: 0.20%,  Human FI: 0.20%,  Human ACC: 0.13%,  Human BM: 0.07%,  Human AON: 0.07%,  Human SEP: 0.07%"
Cluster87,"Human ACC: 25.77%,  Human A25: 17.62%,  Human FI: 11.47%,  Human AON: 7.98%,  Human SEP: 7.65%,  Human SI: 4.16%,  Human A13: 3.82%,  Human A14: 3.82%,  Human M1C: 3.66%,  Human A32: 2.83%,  Human HTHso: 2.58%,  Human Idg: 2.49%,  Human A38: 2.00%,  Human Pir: 1.50%,  Human CoA: 0.58%,  Human A44-A45: 0.42%,  Human Cla: 0.33%,  Human BNST: 0.25%,  Human HTHpo: 0.25%,  Human Sub: 0.17%,  Human Ig: 0.17%,  Human NAC: 0.08%,  Human CA1U-CA2U-CA3U: 0.08%,  Human A35-A36: 0.08%,  Human Pro: 0.08%,  Human A29-A30: 0.08%,  Human TH-TL: 0.08%"
Cluster88,"Human MTG: 15.31%,  Human Idg: 12.98%,  Human FI: 7.95%,  Human M1C: 7.82%,  Human A38: 6.52%,  Human TF: 5.23%,  Human Cla: 4.46%,  Human ITG: 3.81%,  Human Ig: 3.75%,  Human A40: 2.97%,  Human A19: 2.91%,  Human A1C: 2.78%,  Human STG: 2.33%,  Human A43: 2.26%,  Human TH-TL: 1.94%,  Human A5-A7: 1.55%,  Human A23: 1.36%,  Human BM: 1.36%,  Human S1C: 1.29%,  Human ACC: 1.23%,  Human Pro: 1.03%,  Human A13: 0.97%,  Human A25: 0.97%,  Human A35-A36: 0.97%,  Human CA1R-CA2R-CA3R: 0.84%,  Human A44-A45: 0.78%,  Human A46: 0.71%,  Human Pir: 0.58%,  Human A29-A30: 0.58%,  Human AON: 0.39%,  Human LEC: 0.32%,  Human A14: 0.32%,  Human CEN: 0.32%,  Human A32: 0.32%,  Human SEP: 0.26%,  Human CoA: 0.13%,  Human SI: 0.13%,  Human Sub: 0.13%,  Human V1C: 0.13%,  Human V2: 0.13%,  Human La: 0.06%,  Human HTHso: 0.06%,  Human SC: 0.06%"
Cluster89,"Human M1C: 40.14%,  Human FI: 7.97%,  Human S1C: 7.69%,  Human A44-A45: 7.69%,  Human A46: 5.98%,  Human A43: 5.55%,  Human Idg: 4.06%,  Human A25: 3.77%,  Human A13: 3.20%,  Human ACC: 2.28%,  Human A32: 1.85%,  Human A14: 1.71%,  Human A23: 1.57%,  Human Cla: 1.35%,  Human A5-A7: 1.21%,  Human AON: 0.71%,  Human Ig: 0.71%,  Human A40: 0.43%,  Human Pir: 0.43%,  Human A29-A30: 0.36%,  Human A38: 0.21%,  Human SEP: 0.21%,  Human MTG: 0.14%,  Human CoA: 0.14%,  Human A1C: 0.14%,  Human HTHso: 0.14%,  Human V2: 0.14%,  Human A19: 0.07%,  Human TH-TL: 0.07%,  Human Pro: 0.07%"
Cluster90,"Human M1C: 21.62%,  Human A25: 12.97%,  Human FI: 10.48%,  Human A44-A45: 8.48%,  Human ACC: 6.98%,  Human S1C: 6.26%,  Human A13: 5.82%,  Human A46: 4.99%,  Human A43: 4.77%,  Human AON: 3.22%,  Human A14: 2.77%,  Human A32: 2.72%,  Human Idg: 2.33%,  Human SEP: 1.83%,  Human SI: 0.94%,  Human Pir: 0.89%,  Human Cla: 0.61%,  Human Ig: 0.55%,  Human HTHso: 0.50%,  Human CoA: 0.39%,  Human A40: 0.28%,  Human A23: 0.17%,  Human A5-A7: 0.17%,  Human A1C: 0.11%,  Human STG: 0.06%,  Human HTHma: 0.06%,  Human TF: 0.06%"
